trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.95, 'e': 7.831466833737959e-05}",20,0,26.90936223290616,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.95, 'e': 7.694675284702985e-05}",25,9,-14.352585168095361,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.95, 'e': 7.561436672967863e-05}",20,14,10.983516300352038,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.95, 'e': 7.431629013079666e-05}",25,16,16.089265165653963,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.95, 'e': 7.305135510263716e-05}",20,8,19.11294664974216,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.95, 'e': 7.181844297615628e-05}",20,0,32.2613498963011,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.95, 'e': 7.06164818868724e-05}",30,17,24.538914170723878,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.95, 'e': 6.944444444444444e-05}",20,13,12.918180624338783,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.95, 'e': 6.830134553650706e-05}",30,19,21.011913569701235,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.95, 'e': 6.718624025799516e-05}",25,16,15.589373596367654,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.95, 'e': 6.609822195782933e-05}",30,11,34.717847930909016,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.95, 'e': 6.503642039542144e-05}",25,16,-5.130859768784674,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.95, 'e': 6.4e-05}",25,7,4.562711628586967,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.95, 'e': 6.298815822625347e-05}",30,3,-3.2310118806102217,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.95, 'e': 6.2000124000248e-05}",20,0,28.07450447808528,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.95, 'e': 6.103515625e-05}",20,13,11.388231387728787,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.95, 'e': 6.009254251547383e-05}",20,4,-26.207941882729912,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.95, 'e': 5.9171597633136094e-05}",20,14,9.633219332070176,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.95, 'e': 5.8271662490530857e-05}",30,18,10.978632052431303,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.95, 'e': 5.73921028466483e-05}",20,7,20.62470732914932,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.95, 'e': 5.6532308214144386e-05}",25,0,24.5616607427514,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
